year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,0.987345,1.0170249999999998,1.0370130434782607,1.05863,1.1040227272727272,1.0522136363636365,1.06551,1.1056782608695654,1.150405,1.173385714285714,1.1694666666666669,1.113755
2001,1.0666952380952384,1.086494736842105,1.1014272727272727,1.1204999999999996,1.1427409090909093,1.1724619047619047,1.16102380952381,1.1097217391304353,1.0973666666666666,1.1050772727272729,1.1258949999999999,1.1222100000000002
2002,1.1325333333333332,1.1485263157894738,1.1407571428571428,1.1287636363636366,1.0906909090909092,1.0461750000000003,1.0066363636363638,1.0224681818181818,1.0197999999999998,1.0192409090909094,0.998757894736842,0.9812
2003,0.941614285714286,0.9272578947368421,0.9263666666666668,0.92075,0.8656238095238096,0.8566999999999998,0.8799818181818181,0.8966857142857143,0.8879047619047618,0.8537363636363636,0.8541833333333334,0.8132772727272729
2004,0.791335,0.7911947368421053,0.8156521739130436,0.8341545454545455,0.8334349999999999,0.8233545454545456,0.8153619047619047,0.8203272727272727,0.8180999999999999,0.7996999999999999,0.769515,0.7459782608695652
2005,0.762115,0.7685789473684209,0.7585956521739131,0.7726333333333334,0.7877142857142856,0.8227272727272726,0.8305649999999998,0.8133565217391306,0.8175380952380953,0.8318199999999999,0.8483449999999999,0.8431619047619049
2006,0.8247500000000001,0.8375684210526314,0.8314130434782608,0.8149000000000001,0.7832727272727272,0.7899272727272727,0.78865,0.7806260869565216,0.7860399999999998,0.7926,0.7760523809523808,0.757335
2007,0.7696857142857144,0.7645368421052632,0.754990909090909,0.7400761904761904,0.7397727272727272,0.745142857142857,0.7285380952380953,0.7339521739130435,0.71903,0.7026217391304349,0.6811333333333334,0.6869400000000001
2008,0.6789952380952381,0.67767,0.6444428571428571,0.6348136363636363,0.6429523809523809,0.6426476190476191,0.6346045454545455,0.6689333333333332,0.6974571428571429,0.7547454545454545,0.7847944444444446,0.74155
2009,0.75545,0.7815368421052633,0.7669363636363637,0.7577363636363635,0.733055,0.7136090909090909,0.7096956521739131,0.700995238095238,0.6861952380952382,0.6747571428571427,0.6708210526315789,0.6861772727272727
2010,0.7011,0.7310736842105263,0.7369782608695651,0.7454136363636364,0.7963350000000001,0.8181954545454547,0.7807571428571427,0.7752363636363636,0.7636238095238096,0.7194,0.7327499999999999,0.756395238095238
2011,0.7481850000000001,0.7323263157894737,0.7133304347826087,0.6916857142857141,0.6978380952380951,0.6943727272727273,0.7006,0.6977130434782609,0.7276428571428573,0.728445,0.7376949999999999,0.760347619047619
2012,0.774715,0.75543,0.7571909090909091,0.7598904761904761,0.7811363636363637,0.7974047619047617,0.8145761904761906,0.806108695652174,0.7762421052631577,0.7707954545454545,0.77902,0.762275
2013,0.7517619047619049,0.749378947368421,0.7720476190476191,0.7677818181818181,0.7702909090909091,0.7578150000000001,0.7641590909090908,0.7511318181818182,0.74834,0.7328727272727275,0.741257894736842,0.7295238095238096
2014,0.734347619047619,0.7318157894736842,0.7231761904761905,0.7241045454545455,0.7279190476190477,0.7355857142857142,0.738940909090909,0.751057142857143,0.7759190476190476,0.78885,0.8017611111111113,0.811147619047619
2015,0.861345,0.8810684210526316,0.924559090909091,0.924240909090909,0.89566,0.8908954545454543,0.9093681818181817,0.8982095238095239,0.8906190476190476,0.8907904761904761,0.9323894736842104,0.9184727272727272
2016,0.9212526315789474,0.90166,0.8983347826086956,0.8814047619047619,0.8841238095238095,0.8904181818181819,0.9045949999999999,0.8923826086956523,0.8914428571428572,0.9079949999999999,0.9269799999999998,0.9484857142857143
2017,0.9403789473684211,0.9390052631578946,0.9354434782608697,0.9334749999999999,0.905118181818182,0.8902818181818183,0.8674050000000001,0.8465826086956525,0.8394400000000001,0.8507,0.851655,0.8449
2018,0.8200619047619048,0.8104368421052629,0.8107818181818179,0.8150714285714283,0.8459272727272729,0.8562619047619047,0.8558380952380954,0.8661478260869566,0.8571526315789473,0.8705545454545455,0.880005,0.8787166666666668
2019,0.8758500000000001,0.8811166666666665,0.8852714285714285,0.8901681818181818,0.8939090909090909,0.88537,0.8919681818181817,0.8986045454545454,0.9081750000000002,0.904340909090909,0.9049368421052634,0.8998
